                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.2103,                 1.9808,                0.89991,                 1.3717,                0.81995,                0.70842,                 0.7939,                0.52821,                 0.8226,                    0.7,                0.76448,                0.46284,                 1.3476,                 2.3746,                 1.1401,                 1.5882,              0.0017862,              0.0017862,              0.0017862
                     56,                 1.2158,                 2.0303,                0.89312,                 1.3869,                0.94122,                0.85926,                0.94421,                0.69086,                 0.9343,                0.85185,                0.93183,                0.60071,                 1.0493,                 1.8859,                0.68262,                 1.3462,              0.0017822,              0.0017822,              0.0017822
                     57,                 1.2057,                 2.0299,                0.89285,                 1.3689,                0.87041,                0.85926,                 0.9254,                0.63628,                0.87021,                0.84444,                0.90879,                 0.5612,                 1.1699,                 1.9804,                0.81735,                 1.4373,              0.0017782,              0.0017782,              0.0017782
                     58,                 1.1941,                 1.9459,                 0.9043,                 1.3657,                0.93357,                0.81852,                0.92606,                0.64867,                0.90355,                0.79259,                0.89052,                0.55892,                 1.0816,                 1.9858,                0.75831,                 1.3663,              0.0017743,              0.0017743,              0.0017743
                     59,                 1.1735,                 1.9607,                 0.8735,                 1.3492,                0.93696,                 0.7963,                0.93751,                0.68046,                0.92669,                0.78889,                 0.9141,                0.58868,                 1.0191,                 1.8695,                 0.7131,                 1.3341,              0.0017703,              0.0017703,              0.0017703
                     60,                 1.1653,                 1.9766,                0.87976,                  1.356,                0.90425,                0.87445,                0.94013,                0.66743,                0.88154,                0.85445,                0.92113,                 0.5941,                 1.0708,                 1.8701,                0.74558,                 1.3733,              0.0017664,              0.0017664,              0.0017664
                     61,                  1.148,                 1.9568,                0.84358,                 1.3357,                0.90108,                0.85926,                 0.9313,                0.65667,                0.89059,                0.84411,                0.90836,                0.59405,                 1.0802,                 1.8627,                0.74559,                 1.3791,              0.0017624,              0.0017624,              0.0017624
                     62,                 1.1832,                 2.0093,                0.90306,                 1.3568,                0.88086,                0.82151,                0.90884,                0.62045,                0.88086,                0.82151,                0.89255,                0.54413,                 1.1247,                 1.9959,                0.80648,                 1.4056,              0.0017584,              0.0017584,              0.0017584
                     63,                  1.183,                 1.9558,                0.88832,                 1.3441,                0.90125,                0.87778,                0.94348,                0.67556,                0.88211,                0.85914,                0.91662,                0.59079,                 1.0642,                 1.8682,                0.72385,                 1.3398,              0.0017545,              0.0017545,              0.0017545
                     64,                  1.156,                 1.8953,                0.86958,                 1.3361,                0.91123,                 0.8364,                0.93292,                0.68538,                 0.9258,                0.78563,                0.90785,                0.58826,                   1.01,                 1.9268,                0.75034,                 1.3237,              0.0017505,              0.0017505,              0.0017505
                     65,                 1.1412,                 1.9138,                0.83972,                 1.3178,                0.94567,                0.84074,                0.94046,                0.67451,                0.94151,                0.83704,                0.93122,                 0.5919,                 1.0704,                 1.9222,                0.74072,                 1.3544,              0.0017466,              0.0017466,              0.0017466
                     66,                 1.1476,                 1.9197,                0.86562,                 1.3271,                0.91519,                    0.9,                0.95022,                0.69545,                0.91519,                    0.9,                0.94009,                 0.5998,                 1.0262,                 1.8783,                0.68044,                 1.3146,              0.0017426,              0.0017426,              0.0017426
                     67,                 1.1283,                 1.9024,                0.81633,                 1.3047,                 0.7026,                0.66667,                0.74395,                0.44592,                 0.6596,                0.64074,                0.68667,                0.38732,                 1.4413,                 2.3816,                  1.252,                 1.7131,              0.0017386,              0.0017386,              0.0017386
                     68,                 1.1579,                 1.9204,                0.84294,                 1.3416,                 0.9205,                0.87778,                0.94479,                0.69045,                 0.9033,                0.86494,                0.92706,                0.60503,                 1.0252,                  1.874,                0.70378,                 1.3045,              0.0017347,              0.0017347,              0.0017347
                     69,                  1.158,                 1.9238,                0.84409,                 1.3238,                0.93034,                0.81111,                0.92969,                0.64854,                0.95258,                    0.8,                0.91351,                0.58491,                 1.0897,                 1.8761,                0.73875,                 1.3759,              0.0017307,              0.0017307,              0.0017307
                     70,                 1.1334,                 1.8603,                0.82131,                 1.3196,                 0.9313,                0.84444,                0.93602,                0.68707,                0.92993,                0.83565,                0.91139,                0.60945,                 1.0361,                 1.8027,                0.67541,                 1.3067,              0.0017268,              0.0017268,              0.0017268
                     71,                 1.1175,                 1.8719,                0.84883,                 1.3102,                0.90497,                0.80741,                0.88519,                0.61574,                0.88392,                0.78964,                0.86211,                0.55204,                 1.1033,                 1.9845,                0.83239,                 1.3839,              0.0017228,              0.0017228,              0.0017228
                     72,                 1.1454,                 1.9338,                0.83069,                 1.3213,                0.95372,                 0.8396,                0.94391,                0.68183,                 0.9495,                0.83563,                0.93543,                0.60811,                 1.0225,                 1.8244,                0.71235,                 1.3397,              0.0017188,              0.0017188,              0.0017188
                     73,                 1.1424,                 1.9333,                0.83219,                 1.3141,                0.92423,                0.86667,                0.94553,                 0.6746,                0.90472,                0.84407,                0.91751,                0.59475,                 1.0123,                 1.8425,                0.74863,                 1.3293,              0.0017149,              0.0017149,              0.0017149
                     74,                 1.1119,                 1.8812,                0.82722,                 1.3046,                0.77672,                0.54815,                0.67146,                0.39578,                0.74446,                0.52593,                0.58921,                0.33556,                 1.5472,                 2.9401,                 1.4749,                 1.7394,              0.0017109,              0.0017109,              0.0017109
                     75,                 1.1279,                 1.8603,                0.84649,                 1.3139,                0.89988,                0.76296,                0.88532,                 0.6026,                0.87414,                0.74074,                0.85217,                0.52415,                 1.1586,                 2.0117,                 0.8647,                 1.4243,               0.001707,               0.001707,               0.001707
                     76,                 1.1212,                 1.9171,                0.83809,                 1.2912,                0.92277,                0.84077,                 0.9169,                0.63821,                0.89839,                0.81864,                0.89001,                0.54915,                 1.1034,                 2.0022,                0.80602,                 1.3713,               0.001703,               0.001703,               0.001703
                     77,                 1.1048,                  1.846,                0.79761,                 1.2992,                0.77688,                0.59322,                0.68691,                 0.4463,                0.77846,                0.57264,                0.65505,                 0.3743,                 1.3473,                 2.3484,                 1.5174,                 1.6114,               0.001699,               0.001699,               0.001699
                     78,                 1.0813,                 1.8632,                0.79835,                 1.2618,                0.86976,                0.77778,                0.85158,                0.60768,                0.84705,                0.75926,                0.83281,                 0.5218,                 1.1108,                 1.9944,                0.97135,                 1.4029,              0.0016951,              0.0016951,              0.0016951
                     79,                 1.0929,                 1.8274,                0.79858,                 1.2752,                0.90026,                 0.9037,                0.95137,                 0.7023,                0.89714,                0.90451,                0.94283,                0.62943,                0.99119,                 1.7289,                0.64271,                 1.2868,              0.0016911,              0.0016911,              0.0016911
                     80,                 1.1342,                 1.9153,                0.81751,                 1.3113,                0.90916,                0.85257,                0.93072,                0.64743,                0.89965,                0.83012,                0.90524,                0.58412,                  1.153,                 1.9342,                0.75229,                 1.4026,              0.0016872,              0.0016872,              0.0016872
